number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
87,francium,fr,"francium, fr","/?frænsi?m/, fran-see-?m",,87,"group 1 (alkali metals), s-block",7,alkali metal,223,[rn] 7s1,2,,solid presumably,"? 300 k (30 °c, 80 °f)","? 950 k (680 °c, 1300 °f)",,,,,,,,,"vapor pressure (extrapolated), p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 404, 454, 519, 608, 738, 946",+1 (a strongly basic oxide),pauling scale: >0.79,1st: 393 kj/mol,260,348,"body-centered cubic (bcc), (extrapolated)",,15,paramagnetic,7440-73-5,,,"iso, na, half-life, dm, de (mev), dp, 221fr, trace, 4.8 min, ?, 6.457, 217at, 222fr, syn, 14.2 min, ??, 2.033, 222ra, 223fr, trace, 22.00 min, ??, 1.149, 223ra, ?, 5.430, 219at",404,"after france, homeland of the discoverer",,2.8–3.0 g/cm3 (extrapolated),,,,3,,,,,,,,,,,,,,,marguerite perey (1939),,,,,,,,,,,
88,radium,ra,"radium, ra","/?re?di?m/, ray-dee-?m",silvery white metallic,88,"group 2 (alkaline earth metals), s-block",7,alkaline earth metal,226,[rn] 7s2,2,,solid,973,2010,,,,,,8.5,113,,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 819, 906, 1037, 1209, 1446, 1799",2,pauling scale: 0.9,"1st: 509.3 kj/mol, 2nd: 979.0 kj/mol",221±2 pm,283,body-centered cubic (bcc),,18.6,nonmagnetic,7440-14-4,pierre and marie curie (1898),,"iso, na, half-life, dm, de (mev), dp, 223ra, trace, 11.43 d, ?, 5.99, 219rn, 224ra, trace, 3.6319 d, ?, 5.789, 220rn, 225ra, trace, 14.9 d, ??, 0.356, 225ac, 226ra, trace, 1600 y, ?, 4.871, 222rn, 228ra, trace, 5.75 y, ??, 0.046, 228ac",819,,marie curie (1910),5.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
89,actinium,ac,"actinium, ac","/æk?t?ni?m/, ak-tin-nee-?m","silvery-white, glowing with an eerie blue light; sometimes with a golden cast",89,"group n/a, f-block",7,"actinide, sometimes considered a transition metal",227,[rn] 6d1 7s2,2,,solid,1500,"3500±300 k (3200±300 °c, 5800±500 °f) (extrapolated)",,,,,,14,400,27.2,,3,pauling scale: 1.1,"1st: 499 kj/mol, 2nd: 1170 kj/mol, 3rd: 1900 kj/mol, (more)",215,,face-centered cubic (fcc),,12,,7440-34-8,,andré-louis debierne (1899),"iso, na, half-life, dm, de (mev), dp, 225ac, trace, 10 d, ?, 5.935, 221fr, 226ac, syn, 29.37 h, ??, 1.117, 226th, ?, 0.640, 226ra, ?, 5.536, 222fr, 227ac, trace, 21.772 y, ??, 0.045, 227th, ?, 5.042, 223fr",,,,10,,,,,,,,,,,,,,,,,,,friedrich oskar giesel (1902),,,,,,,,,,,
90,thorium,th,"thorium, th","/????ri?m/, thawr-ee-?m","silvery, often with black tarnish",90,"group n/a, f-block",7,actinide,232.03774,[rn] 6d2 7s2,2,,solid,2023,5061,,,,,,13.81,,26.23,"vapour pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2633, 2907, 3248, 3683, 4259, 5055",4,pauling scale: 1.3,,206±6 pm,,face-centred cubic (fcc),,54,paramagnetic,7440-29-1,jöns jakob berzelius (1829),,"iso, na, half-life, dm, de (mev), dp, 227th, trace, 18.68 d, ?, 6.038, 5.978, 223ra, 228th, trace, 1.9116 y, ?, 5.520, 224ra, 229th, trace, 7917 y, ?, 5.168, 225ra, 230th, 0.02%, 75400 y, ?, 4.770, 226ra, 231th, trace, 25.5 h, ??, 0.39, 231pa, 232th, 99.98%, 1.405×1010 y, ?, 4.083, 228ra, 234th, trace, 24.1 d, ??, 0.27, 234pa",2633,"after thor, the norse god of thunder",,11.7,empirical: 179.8 pm,2490,11,157,79,31,54,3,390–1500 mpa,0.27,295–685 mpa,,,,,514,"1st: 587 kj/mol, 2nd: 1110 kj/mol, 3rd: 1930 kj/mol",,,,,,,,,,,,,
91,protactinium,pa,"protactinium, pa","/?pro?tæk?t?ni?m/, proh-tak-tin-ee-?m","bright, silvery metallic luster",91,"group n/a, f-block",7,actinide,231.035882,[rn] 5f2 6d1 7s2,2,,solid,1841,4300,,,,,,12.34,481,,,2,pauling scale: 1.5,1st: 568 kj/mol,200,,tetragonal,,47,paramagnetic,7440-13-3,,otto hahn and lise meitner (1917–8),"iso, na, half-life, dm, de (mev), dp, 229pa, syn, 1.5 d, ?, 0.311, 229th, 230pa, syn, 17.4 d, ?, 1.310, 230th, 231pa, 100%, 3.276×104 y, ?, 5.150, 227ac, 232pa, syn, 1.31 d, ??, 1.337, 232u, 233pa, trace, 26.967 d, ??, 0.5701, 233u, 234pa, trace, 6.75 h, ??, 2.195, 234u, 234mpa, trace, 1.17 min, ??, 2.29, 234u",,,,15.37,empirical: 163 pm,,~9.9 μm/(m·k) (at r.t.),177,,,,,,,,,,,,,,dmitri mendeleev (1869),kasimir fajans and oswald helmuth göhring (1913),,,,,,,,,,,
92,uranium,u,"uranium, u","/j??re?ni?m/, ew-ray-nee-?m",silvery gray metallic; corrodes to a spalling black oxide coat in air,92,"group n/a, f-block",7,actinide,238.028913,[rn] 5f3 6d1 7s2,2,,solid,1405.3,4404,,17.3,,,,9.14,417.1,27.665,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2325, 2564, 2859, 3234, 3727, 4402",6,pauling scale: 1.38,"1st: 597.6 kj/mol, 2nd: 1420 kj/mol",196±7 pm,186,orthorhombic,,27.5,paramagnetic,7440-61-1,martin heinrich klaproth (1789),,"iso, na, half-life, dm, de (mev), dp, 232u, syn, 68.9 y, sf, –, –, ?, 5.414, 228th, 233u, trace, 1.592×105 y, sf, 197.93, –, ?, 4.909, 229th, 234u, 0.005%, 2.455×105 y, sf, 197.78, –, ?, 4.859, 230th, 235u, 0.720%, 7.04×108 y, sf, 202.48, –, ?, 4.679, 231th, 236u, trace, 2.342×107 y, sf, 201.82, –, ?, 4.572, 232th, 238u, 99.274%, 4.468×109 y, ?, 4.270, 234th, sf, 205.87, –, ????, –, 238pu",2325,"after planet uranus, itself named after greek god of the sky uranus",eugène-melchior péligot (1841),19.1,empirical: 156 pm,3155,13.9,0.28,208,111,100,,2350–3850 mpa,0.23,1960–2500 mpa,,,,,,,,,,,,,,,,,,,
93,neptunium,np,"neptunium, np","uk /n?p?tju?ni?m/, us /n?p?tu?ni?m/
nep-tew-nee-?m, nep-too-nee-?m",silvery metallic,93,"group n/a, f-block",7,actinide,237,[rn] 5f4 6d1 7s2,2,,solid,"912±3 k (639±3 °c, 1182±5 °f)",4447,,,,,,5.19,336,29.46,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2194, 2437",7,pauling scale: 1.36,1st: 604.5 kj/mol,190±1 pm,,orthorhombic,,6.3,paramagnetic,7439-99-8,edwin mcmillan and philip h. abelson (1940),,"iso, na, half-life, dm, de (mev), dp, 235np, syn, 396.1 d, ?, 5.192, 231pa, ?, 0.124, 235u, 236np, syn, 1.54×105 y, ?, 0.940, 236u, ??, 0.940, 236pu, ?, 5.020, 232pa, 237np, trace, 2.144×106 y, ?, 4.959, 233pa, 239np, trace, 2.356 d, ??, 0.218, 239pu",2194,"after planet neptune, itself named after roman god of the sea neptune",,"alpha: 20.45 g/cm3, accepted standard value: 19.38 g/cm3",empirical: 155 pm,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,
94,plutonium,pu,"plutonium, pu","/plu??to?ni?m/, ploo-toh-nee-?m","silvery white, tarnishing to dark gray in air",94,"group n/a, f-block",7,actinide,244,[rn] 5f6 7s2,2,,solid,912.5,3505,,16.63,,,,2.82,333.5,35.5,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1756, 1953, 2198, 2511, 2926, 3499",8,pauling scale: 1.28,1st: 584.7 kj/mol,187±1 pm,,monoclinic,2260,6.74,paramagnetic,7440-07-5,"glenn t. seaborg, arthur wahl, joseph w. kennedy, edwin mcmillan (1940–1)",,"iso, na, half-life, dm, de (mev), dp, 238pu, trace, 87.74 y, sf, 204.66, –, ?, 5.5, 234u, 239pu, trace, 2.41×104 y, sf, 207.06, –, ?, 5.157, 235u, 240pu, syn, 6.5×103 y, sf, 205.66, –, ?, 5.256, 236u, 241pu, syn, 14 y, ??, 0.02078, 241am, sf, 210.83, –, 242pu, syn, 3.73×105 y, sf, 209.47, –, ?, 4.984, 238u, 244pu, syn, 8.08×107 y, ?, 4.666, 240u, sf, –",1756,"after dwarf planet pluto, itself named after classical god of the underworld pluto",,19.816,empirical: 159 pm,,46.7,1.46,96,43,,,,0.21,,,,,,,,,,,,,,,,,,,,
95,americium,am,"americium, am","/?æm??r?si?m/, am-?-ris-ee-?m",silvery white,95,"group n/a, f-block",7,actinide,243,[rn] 5f7 7s2,2,,solid,1449,2880,,,,,,14.39,,62.7,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1239, 1356",8,pauling scale: 1.3,1st: 578 kj/mol,180±6 pm,,double hexagonal close-packed (dhcp),,10,paramagnetic,7440-35-9,"glenn t. seaborg, ralph a. james, leon o. morgan, albert ghiorso (1944)",,"iso, na, half-life, dm, de (mev), dp, 241am, syn, 432.2 y, sf, –, –, ?, 5.486, 237np, 242m1am, syn, 141 y, it, 0.049, 242am, ?, 5.637, 238np, sf, –, –, 243am, syn, 7370 y, sf, –, –, ?, 5.275, 239np",1239,after the americas,,12,empirical: 173 pm,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,
96,curium,cm,"curium, cm","/?kj??ri?m/, kewr-ee-?m","silvery metallic, glows purple in the dark",96,"group n/a, f-block",7,actinide,247,[rn] 5f7 6d1 7s2,2,,solid,1613,3383,,,,,,13.85,,,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1788, 1982",6,pauling scale: 1.3,1st: 581 kj/mol,169±3 pm,,double hexagonal close-packed (dhcp),,,antiferromagnetic-paramagnetic transition at 52 k,7440-51-9,"glenn t. seaborg, ralph a. james, albert ghiorso (1944)",,"iso, na, half-life, dm, de (mev), dp, 242cm, syn, 160 d, sf, –, –, ?, 6.1, 238pu, 243cm, syn, 29.1 y, ?, 6.169, 239pu, ?, 0.009, 243am, sf, –, –, 244cm, syn, 18.1 y, sf, –, –, ?, 5.8048, 240pu, 245cm, syn, 8500 y, sf, –, –, ?, 5.623, 241pu, 246cm, syn, 4730 y, ?, 5.475, 242pu, sf, –, –, 247cm, syn, 1.56×107 y, ?, 5.353, 243pu, 248cm, syn, 3.40×105 y, ?, 5.162, 244pu, sf, –, –, 250cm, syn, 9000 y, sf, –, –, ?, 5.169, 246pu, ??, 0.037, 250bk",1788,named after marie sk?odowska-curie and pierre curie,,13.51,empirical: 174 pm,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
97,berkelium,bk,"berkelium, bk","/b?r?ki?li.?m/; less commonly: /?b??rkli.?m/, b?r-kee-lee-?m; berk-lee-?m",silvery,97,"group n/a, f-block",7,actinide,247,[rn] 5f9 7s2,2,,solid,"beta: 1259 k (986 °c, 1807 °f)","beta: 2900 k (2627 °c, 4760 °f)",,,,,,7.92,,,,2,pauling scale: 1.3,1st: 601 kj/mol,,,double hexagonal close-packed (dhcp),,10,paramagnetic,7440-40-6,lawrence berkeley national laboratory (1949),,"iso, na, half-life, dm, de (mev), dp, 245bk, syn, 4.94 d, ?, 0.810, 245cm, ?, 6.455, 241am, 246bk, syn, 1.8 d, ?, 6.070, 242am, ?, 1.350, 246cm, 247bk, syn, 1380 y, ?, 5.889, 243am, 248bk, syn, >300 y, ?, 5.803, 244am, 249bk, syn, 330 d, ?, 5.526, 245am, sf, –, –, ??, 0.125, 249cf",,"after berkeley, california, where it was discovered",,"alpha: 14.78 g/cm3, beta: 13.25 g/cm3",empirical: 170 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,californium,cf,"californium, cf","/?kæl??f??rni?m/, kal-i-for-nee-?m",silvery,98,"group n/a, f-block",7,actinide,251,[rn] 5f10 7s2,2,,solid,1173,1743,,,,,,,,,,2,pauling scale: 1.3,1st: 608 kj/mol,,,double hexagonal close-packed (dhcp),,,,7440-71-3,lawrence berkeley national laboratory (1950),,"iso, na, half-life, dm, de (mev), dp, 248cf, syn, 333.5 d, ? (100%), 6.369, 244cm, sf (2.9×10?3%), 0.0029, –, 249cf, syn, 351 y, ? (100%), 6.295, 245cm, sf (5.0×10?7%), 4.4×10?7, –, 250cf, syn, 13.08 y, ? (99.92%), 6.129, 246cm, sf (0.08%), 0.077, –, 251cf, syn, 898 y, ?, 6.172, 247cm, 252cf, syn, 2.645 y, ? (96.91%), 6.217, 248cm, sf (3.09%), –, –, 253cf, syn, 17.81 d, ?? (99.69%), 0.29, 253es, ? (0.31%), 6.126, 249cm, 254cf, syn, 60.5 d, sf (99.69%), –, –, ? (0.31%), 5.930, 250cm",,"after california, where it was discovered",,15.1,,,,,,,,3–4,,,,,,,,,,,,,,,,,,,,,,
99,einsteinium,es,"einsteinium, es","/a?n?sta?ni?m/, eyen-sty-nee-?m",silvery; glows blue in the dark,99,"group n/a, f-block",7,actinide,252,[rn] 5f11 7s2,2,,solid,1133,1269,,,,,,,,,,2,pauling scale: 1.3,1st: 619 kj/mol,,,face-centered cubic (fcc),,,paramagnetic,7429-92-7,lawrence berkeley national laboratory (1952),,"iso, na, half-life, dm, de (mev), dp, 252es, syn, 471.7 d, ?, 6.760, 248bk, ?, 1.260, 252cf, ??, 0.480, 252fm, 253es, syn, 20.47 d, sf, –, –, ?, 6.739, 249bk, 254es, syn, 275.7 d, ?, 0.654, 254cf, ??, 1.090, 254fm, ?, 6.628, 250bk, 255es, syn, 39.8 d, ??, 0.288, 255fm, ?, 6.436, 251bk, sf, –, –",,after albert einstein,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,fermium,fm,"fermium, fm","/?f??rmi?m/, fer-mee-?m",,100,"group n/a, f-block",7,actinide,257,[rn] 5f12 7s2,2,,solid (predicted),1800,,,,,,,,,,,2,pauling scale: 1.3,1st: 627 kj/mol  (estimated),,,"face-centered cubic (fcc), (predicted)",,,,7440-72-4,lawrence berkeley national laboratory (1952),,"iso, na, half-life, dm, de (mev), dp, 252fm, syn, 25.39 h, sf, –, –, ?, 7.153, 248cf, 253fm, syn, 3 d, ?, 0.333, 253es, ?, 7.197, 249cf, 255fm, syn, 20.07 h, sf, –, –, ?, 7.241, 251cf, 257fm, syn, 100.5 d, ?, 6.864, 253cf, sf, –, –",,after enrico fermi,,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,mendelevium,md,"mendelevium, md",/?m?nd??l?vi?m/ or /?m?nd??li?vi?m/,,101,"group n/a, f-block",7,actinide,258,[rn] 5f13 7s2,2,,solid (predicted),1100,,,,,,,,,,,2,pauling scale: 1.3,1st: 635 kj/mol  (estimated),,,"face-centered cubic (fcc), (predicted)",,,,7440-11-1,lawrence berkeley national laboratory (1955),,"iso, na, half-life, dm, de (mev), dp, 257md, syn, 5.52 h, ?, 0.406, 257fm, ?, 7.558, 253es, sf, –, –, 258md, syn, 51.5 d, ?, 1.230, 258fm, 260md, syn, 31.8 d, sf, –, –, ?, 7.000, 256es, ?, –, 260fm, ??, 1.000, 260no",,after dmitri mendeleev,,10.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,nobelium,no,"nobelium, no","i/no??b?li?m/ or /no??bi?li?m/, noh-bel-ee-?m or noh-bee-lee-?m",,102,"group n/a, f-block",7,actinide,259,[rn] 5f14 7s2,2,,solid (predicted),1100,,,,,,,,,,,2,pauling scale: 1.3 (predicted),"1st: 641.6 kj/mol, 2nd: 1254.3 kj/mol, 3rd: 2605.1 kj/mol  (all estimated)",,,"face-centered cubic (fcc), (predicted)",,,,10028-14-5,joint institute for nuclear research (1966),,"iso
na
half-life
dm
de (mev)
dp


253no
syn
1.62 min
80% ?
8.14, 8.06, 8.04, 8.01
249fm


20% ?+

253md


254no
syn
51 s
90% ?

250fm


10% ?+

254md


255no
syn
3.1 min
61% ?
8.12, 8.08, 7.93
251fm


39% ?+
2.012
255md


257no
syn
25 s
99% ?
8.32, 8.22
253fm


1% ?+

257md


259no
syn
58 min
75% ?
7.69, 7.61, 7.53....
255fm


25% ?

259md


10% sf",,after alfred nobel,,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,lawrencium,lr,"lawrencium, lr","i/l??r?nsi?m/, l?-ren-see-?m",silvery (predicted),103,"group n/a, d-block",7,"actinide, sometimes considered a transition metal",266,[rn] 5f14 7s2 7p1,2,,solid (predicted),1900,,,,,,,,,,,3,,"1st: 478.6 kj/mol, 2nd: 1428.0 kj/mol (predicted), 3rd: 2219.1 kj/mol (predicted)",,,"hexagonal close-packed (hcp), (predicted)",,,,22537-19-5,lawrence berkeley national laboratory and joint institute for nuclear research (1961–1971),,"iso, na, half-life, dm, de (mev), dp, 266lr, syn, 11 h, sf, 262lr, syn, 3.6 h, ?, 262no, 261lr, syn, 44 min, sf/??, 260lr, syn, 2.7 min, ?, 8.04, 256md, 259lr, syn, 6.2 s, 78% ?, 8.44, 255md, 22% sf, 256lr, syn, 27 s, ?, 8.62,8.52,8.32..., 252md, 255lr, syn, 21.5 s, ?, 8.43,8.37, 251md, 254lr, syn, 13 s, 78% ?, 8.46,8.41, 250md, 22% ?, 254no",,after ernest lawrence,,~15.6–16.6 g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,dubnium,db,"dubnium, db","i/?du?bni?m/, doob-nee-?m",,105,"group 5, d-block",7,transition metal,268,[rn] 5f14 6d3 7s2 ,2,,solid (predicted),,,,,,,,,,,,5,,"1st: 656.1 kj/mol, 2nd: 1546.7 kj/mol, 3rd: 2378.4 kj/mol, (more) (all but first estimated)",149,,body-centered cubic (bcc) (predicted),,,,53850-35-4,joint institute for nuclear research (1968),,"iso, na, half-life, dm, de (mev), dp, 262db, syn, 34 s, 67% ?, 8.66,, 8.45, 258lr, 33% sf, 263db, syn, 27 s, 56% sf, 41% ?, 8.36, 259lr, 3% ?, 263mrf, 266db, syn, 22 min, sf, ?, 266rf, 267db, syn, 1.2 h, sf, 268db, syn, 29 h, sf, ?, 268rf, 270db, syn, 23.15 h, 17% sf, 83% ?, 266lr",,after the town of dubna in russia,,29.3,empirical: 139 pm (estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,seaborgium,sg,"seaborgium, sg","i/si??b??r?i?m/, see-bor-gee-?m",,106,"group 6, d-block",7,transition metal,269,[rn] 5f14 6d4 7s2 ,2,,solid (predicted),,,,,,,,,,,,6,,"1st: 752.6 kj/mol, 2nd: 1732.9 kj/mol, 3rd: 2483.5 kj/mol, (more) (all but first estimated)",143,,"body-centered cubic (bcc), (predicted)",,,,54038-81-2,lawrence berkeley national laboratory (1974),,"iso
na
half-life
dm
de (mev)
dp


271sg
syn
1.9 min
67% ?
8.54
267rf


33% sf




269sg
syn
3.1+3.7
?1.1 min
?
8.50(6)
265rf


267sg
syn
1.4 min
17% ?
8.20
263rf


83% sf




265msg
syn
16.2 s
?
8.70
261mrf


265sg
syn
8.9 s
?
8.90, 8.84, 8.76
261rf",,after glenn t. seaborg,,35,empirical: 132 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,bohrium,bh,"bohrium, bh",i/?b??ri?m/,,107,"group 7, d-block",7,transition metal,270,[rn] 5f14 6d5 7s2 ,2,,solid (predicted),,,,,,,,,,,,7,,"1st: 742.9 kj/mol, 2nd: 1688.5 kj/mol, 3rd: 2566.5 kj/mol, (more) (all but first estimated)",141,,"hexagonal close-packed (hcp), (predicted)",,,,54037-14-8,gesellschaft für schwerionenforschung (1981),,"iso, na, half-life, dm, de (mev), dp, 274bh, syn, ~54 s, ?, 8.8, 270db, 272bh, syn, 9.8 s, ?, 9.02, 268db, 271bh, syn, 1.2 s, ?, 9.35, 267db, 270bh, syn, 61 s, ?, 8.93, 266db, 267bh, syn, 17 s, ?, 8.83, 263db",,after niels bohr,,37.1,empirical: 128 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,hassium,hs,"hassium, hs","i/?hæsi?m/, hass-ee-?m",silvery (predicted),108,"group 8, d-block",7,transition metal,269,[rn] 5f14 6d6 7s2 ,2,,solid (predicted),,,,,,,,,,,,8,,"1st: 733.3 kj/mol, 2nd: 1756.0 kj/mol, 3rd: 2827.0 kj/mol, (more) (all but first estimated)",134,,"hexagonal close-packed (hcp), (predicted)",,,,54037-57-9,gesellschaft für schwerionenforschung (1984),,"iso
na
half-life
dm
de (mev)
dp


277hs
syn
2 s
sf




277mhs ?
syn
~130 s?
sf




271hs
syn
~4 s
?
9.27, 9.13
267sg


270hs
syn
3.6 s
?
9.02, 8.88
266sg


269hs
syn
9.7 s
?
9.21, 9.10, 8.97
265sg",,"after hassia, latin for hesse, germany, where it was discovered",,41,empirical: 126 pm (estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,meitnerium,mt,"meitnerium, mt","/ma?t?n??ri?m/ or /?ma?tn?ri?m/, myt-neer-ee-?m or myt-n?r-ee-?m",,109,"group 9, d-block",7,"unknown, but probably a transition metal",278,[rn] 5f14 6d7 7s2 (calculated),2,,solid (predicted),,,,,,,,,,,,9,,"1st: 800.8 kj/mol, 2nd: 1823.6 kj/mol, 3rd: 2904.2 kj/mol, (more) (all estimated)",129,,"face-centered cubic (fcc), (predicted)",,,paramagnetic (predicted),54038-01-6,gesellschaft für schwerionenforschung (1982),,"iso, na, half-life, dm, de (mev), dp, 278mt, syn, 7.6 s, ?, 9.6, 274bh, 276mt, syn, 0.72 s, ?, 9.71, 272bh, 274mt, syn, 0.44 s, ?, 9.76, 270bh, 270mmt ?, syn, 1.1 s, ?, 266bh",,after lise meitner,,37.4,empirical: 128 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,darmstadtium,ds,"darmstadtium, ds","i/d??rm??t??ti?m/, darm-shtaht-ee-?m",,110,"group 10, d-block",7,"unknown, but probably a transition metal",281,"[rn] 5f14 6d8 7s2, (predicted)",2,,solid (predicted),,,,,,,,,,,,8,,"1st: 955.2 kj/mol, 2nd: 1891.1 kj/mol, 3rd: 3029.6 kj/mol, (more) (all estimated)",128,,"body-centered cubic (bcc), (predicted)",,,,54083-77-1,gesellschaft für schwerionenforschung (1994),,"iso, na, half-life, dm, de (mev), dp, 281ds, syn, 11 s, 94% sf, 6% ?, 8.67, 277hs, 279ds, syn, 0.20 s, 10% ?, 9.70, 275hs, 90% sf",,"after darmstadt, germany, where it was discovered",,34.8,empirical: 132 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,roentgenium,rg,"roentgenium, rg","i/r?nt???ni?m/ or /r?nt???ni?m/, runt-gen-ee-?m or rent-gen-ee-?m",silvery (predicted),111,"group 11, d-block",7,"unknown, but probably a transition metal",282,[rn] 5f14 6d9 7s2 (predicted),2,,solid (predicted),,,,,,,,,,,,5,,"1st: 1022.7 kj/mol, 2nd: 2074.4 kj/mol, 3rd: 3077.9 kj/mol, (more) (all estimated)",121,,"body-centered cubic (bcc), (predicted)",,,,54386-24-2,gesellschaft für schwerionenforschung (1994),,"iso, na, half-life, dm, de (mev), dp, 282rg, syn, 2.1+1.4, ?0.6 min, ?, 9.00, 278mt, 281rg, syn, 17+6, ?3 s, sf (90%), ? (10%), 277mt, 280rg, syn, 3.6 s, ?, 9.75, 276mt, 279rg, syn, 0.17 s, ?, 10.37, 275mt",,after wilhelm röntgen,,28.7,empirical: 138 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,ununbium,uub,"copernicium, cn","/ko?p?r?n?si?m/, koe-p?r-nis-ee-?m",,112,"group 12, d-block",7,"transition metal, alternatively considered a post-transition metal",285,[rn] 5f14 6d10 7s2 (predicted),2,,gas (predicted),,"357+112
?108 k (84+112
?108 °c, 183+202
?194 °f)",,,,,,,,,,4,,"1st: 1154.9 kj/mol, 2nd: 2170.0 kj/mol, 3rd: 3164.7 kj/mol, (more) (all estimated)",122,,"hexagonal close-packed (hcp), (predicted)",,,,54084-26-3,gesellschaft für schwerionenforschung (1996),,"iso
na
half-life
dm
de (mev)
dp


285cn
syn
29 s
?
9.15, 9.03?
281ds


283cn
syn
4 s
90% ?
9.53, 9.32, 8.94
279ds


10% sf",,after nicolaus copernicus,,23.7,empirical: 147 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ununtrium,uut,"ununtrium, uut","i/u?nu?n?tra??m/, oon-oon-try-?m",,113,"group 13, p-block",7,"unknown, but probably a post-transition metal",286,[rn] 5f14 6d10 7s2 7p1 (predicted),2,,solid (predicted),700,1430,,,,,,7.61,130,,,"?1, 1, 3, 5 (predicted)",,"1st: 704.9 kj/mol (predicted), 2nd: 2238.5 kj/mol (predicted), 3rd: 3203.3 kj/mol (predicted), (more)",172–180 pm (extrapolated),,,,,,54084-70-7,"riken (2004, first undisputed)
joint institute for nuclear research and lawrence livermore national laboratory (2003, first announced)",,"iso
na
half-life
dm
de (mev)
dp


286uut
syn
20 s
?
9.63
282rg


285uut
syn
5.5 s
?
9.74, 9.48
281rg


284uut
syn
0.48 s
?
10.00
280rg


ec

284cn


283uut
syn
0.10 s
?
10.12
279rg


282uut
syn
70 ms
?
10.63
278rg


278uut
syn
0.24 ms
?
11.68
274rg",,iupac systematic element name,,16,empirical: 170 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,"nihonium, nh","element 113, eka-thallium"
